日期,綜合準班率指數(%),到離港服務準班率指數(%),收发貨服務準班率指數(%),亞洲-歐洲,亞洲-地中海-到,亞洲-美西-到,亞洲-美東-到,亞洲-波斯灣-到,亞洲-澳新-到,亞洲-西非-到,亞洲-南非-到,亞洲-南美-到,歐洲-美東-到,亞洲-歐洲-收,亞洲-地中海-收,亞洲-美西-收,亞洲-美東-收,亞洲-波斯灣-收,亞洲-澳新-收,亞洲-西非-收,亞洲-南非-收,亞洲-南美-收,歐洲-美東-收
2021-02,20.86,18.49,23.22,18.75,17.19,11.43,11.59,22.48,18.25,14.22,14.63,25.51,28.08,21.86,29.14,16.89,21.67,23.53,25.3,26.32,21.43,27.7,31.43
2021-03,26.11,21.83,30.38,20.77,19.79,15.51,7.45,31.99,19.11,11.04,28.91,37.47,28.18,33.64,38.23,20.61,25.72,36.75,21.32,34.21,38.67,40.8,23.64
2021-04,23.71,20.69,26.72,11.26,14.36,19.19,9.93,22.03,22.02,13.95,41.64,39.98,33.45,22.25,24.0,20.36,25.6,22.56,22.73,33.54,28.0,41.04,33.5
2021-05,22.66,20.5,24.81,13.73,22.69,21.24,12.79,21.44,17.59,20.2,19.54,28.7,31.88,20.84,26.51,24.46,26.52,21.56,20.08,20.14,15.63,31.07,27.15
2021-06,23.34,22.12,24.57,15.85,27.44,23.57,12.55,23.31,24.15,16.93,28.24,27.03,29.27,24.09,29.12,23.05,20.16,26.3,27.07,21.55,23.21,25.0,23.29
2021-07,18.9,17.03,20.77,12.35,17.53,17.62,10.02,17.07,18.5,19.28,13.76,17.56,34.07,19.85,16.97,18.97,17.71,16.58,18.67,23.48,15.15,18.88,38.14
2021-08,17.16,15.5,18.83,14.0,15.38,11.59,9.04,16.72,13.01,17.01,5.77,20.28,36.44,16.27,14.69,14.58,16.62,17.86,15.83,22.31,9.76,25.95,33.76
2021-09,17.51,15.72,19.29,10.3,13.95,15.71,8.68,14.5,20.09,20.52,8.71,19.09,32.72,18.36,16.38,15.42,17.95,15.75,18.4,23.48,16.67,21.84,27.65
2021-10,17.04,14.42,19.65,8.4,13.77,15.05,7.81,11.7,18.43,21.96,11.07,16.96,27.76,19.95,20.22,17.23,17.93,14.86,15.49,28.89,19.82,23.87,22.07
2021-11,17.6,13.94,21.27,10.8,9.15,15.05,7.97,12.54,15.32,18.32,13.41,21.09,24.08,25.98,16.01,21.51,18.59,14.94,20.43,24.43,14.91,25.48,27.42
